,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,66,55,67,47,62,52,41,60,69,65,78,68
2008,57,74,76,57,84,52,71,64,70,68,72,70
2009,56,80,75,63,91,79,63,75,84,84,85,59
2010,76,78,67,64,99,82,97,94,67,76,93,90
2011,112,94,99,70,92,107,100,95,97,97,87,86
2012,88,83,73,63,70,97,88,89,70,70,83,104
2013,76,75,64,69,75,75,72,96,65,88,66,62
2014,55,60,48,54,61,71,51,62,45,52,57,65
